Term,Definition
Mutual Company,"A mutual company is a private firm that is owned by its customers or policyholders. The company's customers are also its owners. As such, they are entitled to receive a share of the profits generated by the mutual company."
Jumbo CD,"A jumbo certificate of deposit is a CD that requires a higher minimum balance obligation than that required by traditional CDs. In return, the jumbo CD pays a higher rate of interest. A CD is a type of savings account that pays fixed or variable interest in exchange for depositors leaving their funds in the account until a specified date of maturity."
LOSS RATE,See LOSS FREQUENCY METHOD.
General Agreements to Borrow (GAB),"General Agreements to Borrow (GAB) was a lending medium for members of the Group of Ten (G-10). Under GAB, G-10 countries deposited funds into the International Monetary Fund (IMF) for a nation in economic distress to access. Usually, the loans made through GAB were temporary and designed to help address potential crisis situations."
Vesting Period,Period during which an option cannot be exercised.
FREDDIE MAC,See FEDERAL HOME LOAN MORTGAGE CORPORATION.
Allocation,"Ways in which to distribute goods, services or resources."
RATE ON LINE,"A measure of an INSURER’s or REINSURER’s gross profitabil- ity, generally calculated as:where Pr is PREMIUM and Line is the amount of the LINE provided by the insurer or reinsurer.The higher the rate on line, the more gross profit the insurer earns."
Quadrix,"Quadrix is a stock rating system that uses over 90 variables in seven major categories to determine the value of a stock. The Quadrix system is produced and maintained by Horizon Publishing Company. The seven major categories are momentum, quality, value, financial strength, earnings estimates, performance, and reversion. The overall score for a particular stock is determined by a weighted average of all 90 variables.﻿﻿"
Natural Gas ETF,A natural gas exchange-traded fund (ETF) is a type of investment product that allows investors to easily invest in natural gas futures contracts.
payments,Balance of  A set of accounts that summarise a country’s transactions with the rest of the world.
OVERHEDGING,Excessive HEDGE protection that might not be required when broader PORTFOLIO exposures with “beneficial” CORRELATIONS that produce natural offsets are considered.
New York Stock Exchange (NYSE),"The New York Stock Exchange (NYSE) is a stock exchange located in New York City that is the largest equities-based exchange in the world, based on the total market capitalization of its listed securities. Formerly run as a private organization, the NYSE became a public entity on March 8, 2006, following the acquisition of electronic trading exchange Archipelago.﻿﻿ In 2007, a merger with Euronext, the largest stock exchange in Europe, led to the creation of NYSE Euronext, which was later acquired by Intercontinental Exchange, the current parent of the New York Stock Exchange.﻿﻿ ﻿﻿"
TRADE-THROUGH,"The purchase or sale of a STOCK during regular TRAD- ING hours, either as PRINCIPAL or AGENT, at a price that is lower than a PROTECTED BID or higher than a PROTECTED OFFER."
Kairi Relative Index,"The Kairi Relative Index is a metric that traders use to indicate when it is time to buy or sell an asset. It measures the deviation of the price from the simple moving average (SMA) of that asset's price over a period of time, typically 10 to 20 days.﻿﻿"
Durable,Something that is long lasting.
Tombstone,A tombstone is a written advertisement of a public offering placed by investment bankers who are underwriting the issue. It gives basic details about the issue and lists each of the underwriting groups involved in the deal. The tombstone provides investors with some general information and directs the prospective investors to a link where they can obtain a prospectus.
Net Receivables,"Net receivables are the total money owed to a company by its customers minus the money owed that will likely never be paid. Net receivables are often expressed as a percentage, and a higher percentage indicates a business has a greater ability to collect from its customers. For example, if a company estimates that 2% of its sales are never going to be paid, net receivables equal 98% (100% - 2%) of the accounts receivable (AR)."
currency union,A situation in which a group of coun-tries decide to adopt a common currency. @Also called a monetary union.@
Original Cost,"Original cost is the total price associated with the purchase of an asset. The original cost of an asset takes into consideration all of the items that can be attributed to its purchase and to putting the asset to use. These costs include the purchase price and such factors as commissions, transportation, appraisals, warranties and installation and testing. Original cost can be used to value an asset type, including equipment, real estate and security instruments."
Unlevered Cost of Capital,"Unlevered cost of capital is an analysis using either a hypothetical or an actual debt-free scenario to measure a company's cost to implement a particular capital project (and in some cases used to assess an entire company). Unlevered cost of capital compares the cost of capital of the project using zero debt as an alternative to a levered cost of capital investment, which means using debt as a portion of the total capital required."
PAYER,"A party that is required to make a payment, as under a CHECK, DRAFT, BILL OF EXCHANGE, or other CONTRACT. See also PAYEE."
Make to Stock (MTS),"Make to stock (MTS) is a traditional production strategy that is used by businesses to match the inventory with anticipated consumer demand. Instead of setting a production level and then attempting to sell goods, a company using MTS would estimate how many orders its products could generate, and then supply enough stock to meet those orders."
Gift Splitting,Gift splitting allows married couples to split the value of a gift between them to double their allowed annual gift tax exclusion amount. This is usually something done when helping someone out with a financial gift and the involved parties want to avoid the gift tax levied by the IRS.
FRONTING INSURER,"An INSURER that is interposed between a CEDING INSURER or CAPTIVE, and a REINSURER. Use of a fronting insurer allows the insurer or captive to access the professional reinsurance market directly and obtain coverage at more favorable PREMIUM rates. Also known as FRONTING COMPANY."
Volume Analysis,"Volume analysis is the examination of the number of shares or contracts of a security that have been traded in a given time period. Volume analysis is used by technical analysts as one of many factors that inform their trading decisions. By analyzing trends in volume in conjunction with price movements, investors can determine the significance of changes in a security's price."
Revolving Loan Facility,"A revolving loan facility is a form of credit issued by a financial institution that provides the borrower with the ability to draw down or withdraw, repay, and withdraw again. A revolving loan is considered a flexible financing tool due to its repayment and re-borrowing accommodations. It is not considered a term loan because, during an allotted period of time, the facility allows the borrower to repay the loan or take it out again. In contrast, a term loan provides a borrower with funds followed by a fixed payment schedule."
Fee,"A fee is a fixed price charged for a specific service. Fees are applied in a variety of ways such as costs, charges, commissions, and penalties. Fees are most commonly found in heavily transactional services and are paid in lieu of a wage or salary."
Financial Technology (Fintech),"Financial technology (Fintech) is used to describe new tech that seeks to improve and automate the delivery and use of financial services. ​​​At its core, fintech is utilized to help companies, business owners and consumers better manage their financial operations, processes, and lives by utilizing specialized software and algorithms that are used on computers and, increasingly, smartphones. Fintech, the word, is a combination of ""financial technology""."
Orderly Market,"An orderly market is any market in which supply and demand are reasonably equal. An orderly market is said to be in a state of equilibrium. This term can also refer to a site of exchange for goods, services, or financial securities that are traded in a fair, reliable, secure, accurate, and efficient way. Orderly markets contribute to economic growth."
Bank run,Occurs when many depositors rush to the bank to withdraw their money at the same time.
standing lending facility,A lending facility in which healthy banks are allowed to borrow all they want from a central bank.
Form 3,SEC Form 3: Initial Statement of Beneficial Ownership of Securities is a document filed by a company insider or major shareholder with the Securities and Exchange Commission (SEC).
prior distribution,Probability distribution for a variable before adjusting for empirical evidence on its likely value.
SOCIETE ANONYME (SA),"In France, Belgium, Luxembourg, and certain other countries, a CORPORATION that is publicly traded. In all countries min- imum CAPITAL requirements must be met in order to qualify."
Yankee CD,A Yankee certificate of deposit (CD) is a type of CD that is issued in the United States by a branch of a foreign bank. Yankee CDs are denominated in U.S. dollars and are used by foreign banks to raise capital from U.S. investors.
Non-renewable Resources,Non-renewable Resources
Covenant,"In legal and financial terminology, a covenant is a promise in an indenture, or any other formal debt agreement, that certain activities will or will not be carried out or that certain thresholds will be met. Covenants in finance most often relate to terms in a financial contract, such as a loan document or bond issue stating the limits at which the borrower can further lend."
Level Death,"A level death benefit is a payout from a life insurance policy that is the same regardless of whether the insured person dies shortly after purchasing the policy or many years later. It can be contrasted with an increasing death benefit, which rises in value over time as the policyholder ages."
Dirty Price,"A dirty price is a bond pricing quote, which refers to the cost of a bond that includes accrued interest based on the coupon rate. Bond price quotes between coupon payment dates reflect the accrued interest up to the day of the quote."
FOOTNOTES,"Additional, often detailed, explanation regarding the FINANCIAL STATEMENTS presented by a company. The explanatory mater- ial may related to the BALANCE SHEET, INCOME STATEMENT, and/or CASH FLOW STATEMENT, and may also include information on the operating envir- onment, litigation, and other RISK FACTORS."
FUNDED PENSION PLAN,A PENSION PLAN where all future LIABILITIES are fully covered by existing fund resources. See also UN.
Quantity equation of exchange,"A tau-tology,   MV  PQ ,  where  M  is the money supply,  V  is the income veloc-ity of money, and  PQ  @price times quantity@ is the money value of total output @nominal "
BULLET LOAN,"A LOAN with a PRINCIPAL balance that is repaid by the BORROWER in a single installment at MATURITY, rather than standard AMORTIZATION of payments over the life. Also known as BULLET. See alsoBALLOON LOAN."
PARASOL POLICY,See DIFFERENCE IN CONDITIONS INSURANCE.
Output Gap,The term output gap refers to the difference between the actual output of an economy and the maximum potential output of an economy expressed as a percentage of gross domestic product (GDP). A country's output gap may be either positive or negative. A negative output gap suggests that actual economic output is below the economy's full capacity for output while a positive output suggests an economy that is outperforming expectations because its actual output is higher than the economy's recognized maximum capacity output.
capital call,A requirement of limited partners in a venture capital agreement to supply funds per their commitment with the partnership.
Interbank Network for Electronic Transfer (INET),"Interbank Network for Electronic Transfer (INET) processed credit and debit card transactions between financial institutions (FIs). It handled the transferring of funds from cards bearing the MasterCard Inc. (MA) logo, prior to the introduction of Banknet."
Stress-testing,A process for exploring how a portfolio of ASSETS and/or liabilities would fare in extreme adverse conditions. A useful tool in RISK MANAGEMENT.
Petrodollars,"Petrodollars are U.S. dollars paid to an oil-exporting country for the sale of the commodity. Put simply, the petrodollar system is an exchange of oil for U.S. dollars between countries that buy oil and those that produce it."
BESLOTEN VENNOOTSCHAP (BV),"In the Netherlands, Netherlands Antilles, and Belgium, a LIMITED LIABILITY COMPANY. This form of busi- ness organization is frequently used in the establishment of offshore SPECIAL PURPOSE ENTITIES domiciled in the Antilles."
Baby Bond,"A baby bond is a fixed income security that is issued in small-dollar denominations, with a par value of less than $1,000. The small denominations enhance the attraction of baby bonds to average retail investors."
SEC Release IA-1092,SEC Release IA-1092 is a release from the Securities & Exchange Commission (SEC) that provides uniform interpretations of how state and federal adviser laws apply to those that provide financial services.
Tiger economies,"The fast-growing developing economies of Asia, at least before their crisis in the late 1990s."
LADDERED PORTFOLIO,"An INVESTMENT PORTFOLIO comprised of NOTES and BONDS with short-, medium- and long-term MATURITIES, generally in approximately equal amounts. Such a portfolio provides the INVESTOR with exposure to the entire YIELD CURVE, generating INTEREST and PRINCIPAL redemptions on a steady basis over time. See also BARBELL PORTFOLIO."
AMOUNT AT RISK,"(1) In INSURANCE, the lesser of a POLICY CAP on a contract and the MAXIMUM PROBABLE LOSS to the INSURED. INSURERS use amount at risk to estimate potential losses within their PORTFOLIOS. (2) The difference between the PRINCIPAL outstanding on a LOAN and the value of any COLLATERAL securing the loan if it is liquidated forcibly."
Bundle of Rights,A bundle of rights is a term for the set of legal privileges that is generally afforded to a real estate buyer with the transfer of the title. The bundle includes the following:
Hedge funds,"These bogey-men of the FINANCIAL MARKETS are often blamed, usually unfairly, when things go wrong. There is no simple definition of a hedge fund (few of them actually HEDGE). But they all aim to maximise their absolute returns rather than relative ones; that is, they concentrate on making as much MONEY as possible, not (like many mutual funds) simply on outperforming an index. Although they are often accused of disrupting financial markets by their SPECULATION, their willingness to bet against the herd of other investors may push security prices closer to their true fundamental values, not away."
Inward investment,Investment from abroad; the opposite of OUTWARD INVESTMENT (see FOREIGN DIRECT INVESTMENT).
Non-Qualified Plan,"A nonqualified plan is a type of tax-deferred, employer-sponsored retirement plan that falls outside of Employee Retirement Income Security Act (ERISA) guidelines. Nonqualified plans are designed to meet specialized retirement needs for key executives and other select employees and can act as recruitment or employee retention tools. These plans are also exempt from the discriminatory and top-heavy testing that qualified plans are subject to."
EXPORT IMPORT BANK,"The US EXPORT CREDIT agency, created to encour- age TRADE flows by providing export credit GUARANTEES and guaranteeing LOANS made by banks to US exporters. Also known as EXIMBANK."
investment bankers,"Firms specializing in the sale of new securities to the public, typically by underwriting the issue."
CAPM,See CAPITAL ASSET PRICING MODEL.
ENDORSER,"The party signing a NEGOTIABLE INSTRUMENT; once the endorser signs the instrument, ownership is transferred to the BENEFICIARY. See also ENDORSEMENT."
House prices,"When they go through the roof it is usually a warning sign that an economy is overheating. House prices often rise after INTEREST RATE reductions, which lower mortgage payments and thus give buyers the ability to fund a larger amount of borrowing and so offer a higher price for their new home. Strangely, people often regard house-price INFLATION as good news, even though it creates as many losers as gainers. They argue that rising house prices help to boost consumer confidence, and are part of the WEALTH EFFECT: as house prices rise, people feel wealthier and so spend more. However, against this must be set a negative wealth effect. An increase in house prices makes many people worse off, such as first-time buyers and anyone planning to trade up to a better property."
Social Justice,"Social justice is a political and philosophical theory which asserts that there are dimensions to the concept of justice beyond those embodied in the principles of civil or criminal law, economic supply and demand, or traditional moral frameworks. Social justice tends to focus more on just relations between groups within society as opposed to the justice of individual conduct or justice for individuals."
TIED LOAN,"A LOAN granted by one country to another country, with the express condition that the proceeds be used to buy goods and services from the lending country."
Code of Ethics,"A code of ethics is a guide of principles designed to help professionals conduct business honestly and with integrity. A code of ethics document may outline the mission and values of the business or organization, how professionals are supposed to approach problems, the ethical principles based on the organization's core values, and the standards to which the professional is held."
Dividend Rate,"The dividend rate is the total expected dividend payments from an investment, fund or portfolio expressed on an annualized basis plus any additional non-recurring dividends that an investor may receive during that period. Depending on the company's preferences and strategy, the dividend rate can be fixed or adjustable."
Balance of payments,A set of accounts that summarise a country’s transactions with the rest of the world.
portable alpha,"A strategy in which you invest in positive alpha positions, then hedge the systematic risk of that invest-ment, and, finally, establish market exposure where you want it by using passive indexes."
INTERNATIONAL MONETARY FUND (IMF),"A supranational organization created in 1946 to assist in maintaining financial stability and administer the fixed FOREIGN EXCHANGE RATE regime that existed until 1971. The IMF now focuses on granting LOANS, managing external DEBT programs (via the Supplemental Reserve Facility and Country Credit Line program), and creating stability plans for DEBTOR nations. The organization is financed via subscrip- tions from member countries."
Triple Top,"The triple top is a type of chart pattern used in technical analysis to predict the reversal in the movement of an asset's price. Consisting of three peaks, a triple top signals that the asset may no longer be rallying, and that lower prices may be on the way."
Mill Levy,"The mill levy is a property tax. It is applied to a property based on its assessed value. The rate of the tax is expressed in mills and is equal to one dollar per $1,000 dollars of assessed value. The mill levy is calculated by determining how much revenue each tax jurisdiction will need for the upcoming year to fund its budget for public services. For example, funding public schools and maintaining parks and recreation areas. That revenue is then divided by the total value of all property within the area. Finally, the rate from each jurisdiction is added to obtain the mill levy for the entire area.﻿﻿"
INDIRECT LOSS,See CONSEQUENTIAL LOSS.
Inverted Yield Curve,An inverted yield curve represents a situation in which long-term debt instruments have lower yields than short-term debt instruments of the same credit quality. An inverted yield curve is sometimes referred to as a negative yield curve.
Upstairs Market,"The term upstairs market refers to a network that exists between large firms and institutional investors. This network involves large trades or block orders. Trades in these transactions are not submitted through a stock exchange, which means they are not visible to other market participants. These orders are carried out directly between buyers and sellers, with professional brokers acting as intermediaries. The size of the order made in the upstairs market accounts for a big portion of the market's trading volume."
modified duration,Macaulay™s duration divided by 1 + yield to maturity. Measures interest rate sensitivity of bonds.
SCALE EFFECT,See ECONOMIES OF SCALE.
BUY-SIDE,"INVESTMENT firms, such as a HEDGE FUNDS, MUTUAL FUNDS, or PENSION FUNDS, that act as clients of the FINANCIAL INSTITUTION sector, paying fees and COMMISSIONS (i.e., “buying”) in exchange for a range of services that can include investment advice, NEW ISSUES and other product offerings, and TRADE EXECUTION. See also SELL-SIDE."
default risk,The risk that a loan customer may fail to repay a loan as promised.
Net Internal Rate of Return,Net internal rate of return (net IRR) is a performance measurement equal to the internal rate of return after fees and carried interest are factored in. It is used in capital budgeting and portfolio management to calculate an investment's yield or overall financial quality by calculating an expected rate of return.
Ontario Securities Commission (OSC),"The Ontario Securities Commission (OSC) is the largest securities regulator in Canada, enforcing securities laws in the province of Ontario. As a crown corporation, the OSC is answerable to the provincial government of Ontario."
Property Tax Deduction,"State and local property taxes are generally eligible to be deducted from the property owner's federal income taxes. Deductible real estate taxes include any state, local, or foreign taxes that are levied for the general public welfare. They do not include taxes charged for home renovations or for services like trash collection."
Regulation B (Reg B),"Regulation B is intended to prevent applicants from being discriminated against in any aspect of a credit transaction. Reg B outlines the rules that lenders must adhere to when obtaining and processing credit information. The regulation prohibits lenders from discriminating based on age, gender, ethnicity, nationality, or marital status.﻿﻿"
Dilution,"Dilution occurs when a company issues new shares that result in a decrease in existing stockholders' ownership percentage of that company. Stock dilution can also occur when holders of stock options, such as company employees, or holders of other optionable securities exercise their options. When the number of shares outstanding increases, each existing stockholder owns a smaller, or diluted, percentage of the company, making each share less valuable."
ABA TRANSIT NUMBER,"In the United States, a unique identifier assigned by the AMERICAN BANKERS ASSOCIATION to a BANK, which is used in rout- ing of CHECKS and WIRE TRANSFERS."
CFO,See CHIEF FINANCIAL OFFICER.
Income,"The flow of wages, interest payments, dividends, and other receipts accruing to an individual or nation during a period of time (usually a year)."
monetary policy,Actions taken by the Board of Governors of the Federal Reserve System to influence the money sup-ply or interest rates.
EXECUTIVE MANAGEMENT,"A team within a company that is responsible for managing the tactical and strategic operations of the firm. The head of the executive management team is the CHIEF EXECUTIVE OFFICER, who may be appointed by the BOARD OF DIRECTORS."
One-Cancels-the-Other Order (OCO),"A one-cancels-the-other order (OCO) is a pair of conditional orders stipulating that if one order executes, then the other order is automatically canceled. An OCO order often combines a stop order with a limit order on an automated trading platform. When either the stop or limit price is reached and the order executed, the other order automatically gets canceled. Experienced traders use OCO orders to mitigate risk and to enter the market."
"i = Interest rate, which has a great effect on future value. The interest rate in the formula must be written in decimal form, such as 0.03 instead of 3%.","n = This is the number of periods, where ""n"" is the number of equal deposits that will be made."
QUANTO,"An OPTION that converts gains from an underlying DERIVATIVE into a target CURRENCY at a predetermined FOREIGN EXCHANGE RATE. The quanto allows an INVESTOR to participate in a foreign market/ASSET while protecting it from exchange rate RISK. Also known as GUARANTEED EXCHANGE RATE OPTION, QUANTITY ADJUSTED OPTION."
SECURITY MARKET LINE,"A financial relationship linking the RETURN and the NONDIVERSIFIABLE RISK of a LEVERAGED SECURITY. The security market line depicts PORTFOLIOS that maximize RETURN for a given level of BORROWING and RISK (reflected through BETA). The expected return is given as:where E(rj) is the expected return for security j, E(rm) is the expected return for the market portfolio, rf is the RISK-FREE RATE, and βj is the beta of security j. See also ARBITRAGE PRICING THEORY, CAPITAL ASSET PRICING MODEL.Additional references: Jensen (1972); Merton (1973); Roll (1977); Ross (1976)."
Intellectual capital,The part of a country's or a firm's CAPITAL or an individual's HUMAN CAPITAL that consists of ideas rather than something more physical. It can often be protected through PATENTS or other intellectual property laws.
PURE RISK,"A RISK exposure that can result only in a loss or no loss, but no possibility of a gain. Also known as STANDARD RISK. See also SPECULATIVE RISK."
ACCUMULATED DIVIDEND,"A DIVIDEND that has been declared, but not yet paid, to INVESTORS holding CUMULATIVE PREFERRED STOCK. No divi- dends can be paid to holders of COMMON STOCK until accumulated dividendshave been paid. Since accumulated dividends are contractually owed to inves- tors, they are reflected as a LIABILITY on the ISSUER’s BALANCE SHEET until they are fully paid."
BOOTSTRAPPING,See STRIPPING THE YIELD CURVE.
DEREGULATION,"The process of removing or loosening rules, restrictions, and controls on companies, industries and/or markets, allowing for greater flexibilities and freedom in both tactical and strategic operations. Free market economies generally follow a policy of significant deregulation, with sufficient protections in place to guard consumers and other STAKEHOLDERS. See alsoREGULATION, REGULATOR."
SLOW LOAN,A LOAN where the BORROWER has become delinquent on INTEREST and/or PRINCIPAL payments; a slow loan must generally be reclas- sified as a NONACCRUAL LOAN and LOAN LOSS RESERVES must be allocated in anticipation of a possible write-off.
Account in Trust,An account in trust or trust account refers to any type of financial account that is opened by an individual and managed by a designated trustee for the benefit of a third party per agreed-upon terms.
FRIENDLY TAKEOVER,"An ACQUISITION that is agreed on amicable terms between the acquiring company and the TARGET. A friendly takeover may arise as a result of negotiations between the two companies, or it may be a WHITE KNIGHT response to a HOSTILE TAKEOVER offer from another party."
Continuous Variable,A quantitative variable that can take any numerical value.
revolving credit,legally assured line of credit with a bank.
Trust Fund,"A trust fund is an estate planning tool that establishes a legal entity to hold property or assets for a person or organization. A neutral third party, called a trustee, is tasked with managing the assets. Trust funds can hold a variety of assets, such as money, real property, stocks and bonds, a business, or a combination of many different types of properties or assets. Trusts can be formed under a variety of forms and stipulations."
P-Test,"In statistics, the p-value is the probability of obtaining results at least as extreme as the observed results of a statistical hypothesis test, assuming that the null hypothesis is correct. The p-value is used as an alternative to rejection points to provide the smallest level of significance at which the null hypothesis would be rejected. A smaller p-value means that there is stronger evidence in favor of the alternative hypothesis."
